label,waist_mean,waist_max,waist_min,l_thigh_mean,l_thigh_max,r_thigh_mean,r_thigh_max,waist_omega_mean,waist_omega_max,waist_omega_min,l_thigh_omega_mean,l_thigh_omega_max,l_thigh_omega_min,r_thigh_omega_mean,r_thigh_omega_max,r_thigh_omega_min,thigh_mean_diff
standing,0.0928874833060966,0.123862452405675,0.0650884506357841,0.0716699620693511,0.141462952233837,0.899496388400564,0.917473157190813,-0.730958277432254,0.73679708536821,-2.04808418021836,-1.24347388270714,-0.148210787142083,-1.98051295729989,-0.0648820426786566,0.239837451590222,-0.413684565192876,0.827826426331213
standing,0.10134455885962,0.142389588174979,0.0650884506357841,0.0413498817575047,0.103464568910603,0.886968040923966,0.917473157190813,-0.0951009487346025,0.73679708536821,-2.04808418021836,-0.862348230135339,-0.148210787142083,-1.98051295729989,-0.184143568783047,0.239837451590222,-0.81436018435637,0.8456181591664613
standing,0.12376716793519,0.169478017721133,0.0778745974288455,0.0212390255258068,0.0447985578119656,0.865013749081202,0.902442216966335,0.386821737809622,0.73679708536821,-0.544532106059978,-0.568302878600675,-0.148210787142083,-1.28109274311333,-0.412428962762813,-0.10171475958549,-0.81436018435637,0.8437747235553952
standing,0.145773344280614,0.177117585199355,0.107386815465603,0.0056058939348428,0.0418326800913462,0.842074423092593,0.902442216966335,0.527039197701658,0.73679708536821,0.371274269775561,-0.40609388090444,-0.148210787142083,-0.593107738803832,-0.515123854007072,-0.10171475958549,-0.81436018435637,0.8364685291577502
standing,0.167024864790762,0.217408647886359,0.125896004623854,-0.0198190913792228,0.0141617276736241,0.815967227344281,0.864110960070292,0.51531221539432,0.711005003862608,0.371274269775561,-0.492169581090422,-0.265313325604119,-0.967697085103308,-0.575320198749855,-0.388166044427912,-0.81436018435637,0.8357863187235037
standing,0.192324696684003,0.251283534417951,0.153212093850982,-0.0473792611765202,0.0122407848468953,0.788962508208755,0.837397961297995,0.545928009880399,0.761504636967761,0.371274269775561,-0.625221267968527,-0.312805166354852,-0.997027807918721,-0.608557289930046,-0.415798257142146,-0.81436018435637,0.8363417693852753
standing,0.216517899620112,0.283461415009526,0.169478017721133,-0.0765237026472892,-0.0202208768487395,0.765345921088526,0.80543246100234,0.561538828849071,0.837064174197939,0.371274269775561,-0.610709972422394,-0.263641248376422,-0.997027807918721,-0.572959788260603,-0.415798257142146,-0.749402885423435,0.8418696237358152
standing,0.247650642999847,0.304413844082248,0.190291989631319,-0.0983941415776304,-0.0343274591237446,0.742466578504226,0.798340862093482,0.635250381862013,0.842055903304013,0.468731131906129,-0.535430123877793,-0.0361610830678024,-0.997027807918721,-0.530320707331141,-0.301052550154311,-0.749402885423435,0.8408607200818564
standing,0.272375265058288,0.309602091674265,0.216781158823537,-0.119459820790661,-0.0898213625032724,0.721194450725727,0.755042432601954,0.608252501397832,0.842055903304013,-0.272620806574814,-0.441158592118056,-0.0361610830678024,-0.997027807918721,-0.474679100539915,-0.123748860078675,-0.749402885423435,0.8406542715163879
standing,0.278445951554394,0.309602091674265,0.243278060951354,-0.135711781460067,-0.111046420342902,0.705426495314145,0.739110081319453,0.297846639513979,0.842055903304013,-0.787842628287765,-0.361523014135353,-0.0361610830678024,-0.649761907792871,-0.396124789616982,-0.11069190014254,-0.629037883444812,0.841138276774212
standing,0.269942938404739,0.309602091674265,0.214223893189953,-0.141962586917953,-0.111046420342902,0.692379506458751,0.712968685134982,-0.0626627390895475,0.842055903304013,-0.967840661404747,-0.216598843611452,0.443248571678415,-0.649761907792871,-0.308919941253491,-0.11069190014254,-0.58315638309356,0.8343420933767041
standing,0.247062509625155,0.309602091674265,0.200415360926556,-0.146811725242642,-0.124162724245643,0.684637539285476,0.702423754522158,-0.400352069055505,0.821245414274821,-0.967840661404747,-0.0777743868059202,0.467141469314366,-0.649761907792871,-0.219348195423255,0.0160219506611573,-0.404027432437476,0.831449264528118
standing,0.225929445486346,0.274968532724316,0.200415360926556,-0.138682473259912,-0.0997896774311329,0.682279777059956,0.696737554078467,-0.518537863667427,0.0309141512406296,-0.967840661404747,0.108871846748382,0.467141469314366,-0.649761907792871,-0.108610927385066,0.32005134255562,-0.404027432437476,0.820962250319868
standing,0.217458429686664,0.238233362392805,0.200415360926556,-0.117776163132834,-0.0683715042006128,0.683751259325353,0.696737554078467,-0.316394871326184,0.354900932045817,-0.967840661404747,0.404213864307841,0.72136899054163,-0.133395395236166,0.001102721669653,0.32005134255562,-0.306583255108247,0.801527422458187
standing,0.221074758460842,0.243523943442867,0.200415360926556,-0.0974428049643901,-0.0573012535235122,0.685488227637453,0.696737554078467,-0.0374021771550083,0.354900932045817,-0.837975578890719,0.505713657791012,0.72136899054163,0.269735193706078,0.0435368165622309,0.32005134255562,-0.187940181999264,0.782931032601843
standing,0.226265943286605,0.243523943442867,0.208797539105362,-0.0768701811006846,-0.0387120054263335,0.686401669826712,0.696737554078467,0.0933823456226633,0.354900932045817,-0.303226865374286,0.498066418782014,0.72136899054163,0.269735193706078,0.0440801410402677,0.32005134255562,-0.143172461553934,0.7632718509273966
